City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
304,Kinston,US,87.98,clear sky,35.2627,-77.5816,Hampton Inn Kinston
305,Victoria,HK,85.17,scattered clouds,22.2855,114.1577,Mini Central
310,Korla,CN,76.14,overcast clouds,41.7597,86.1469,Gulisitan Hotel
311,Thompson,CA,80.76,clear sky,55.7435,-97.8558,Burntwood Hotel
313,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
314,Acajutla,SV,84.27,overcast clouds,13.5928,-89.8275,Laureles
315,Cascais,PT,87.15,light rain,38.6979,-9.4215,Hotel Vila Galé Cascais
316,Yanliang,CN,78.44,overcast clouds,34.6592,109.2292,Pod Inn Xi'an Yanliang Renmin Road
317,Senador Guiomard,BR,82.15,overcast clouds,-10.1522,-67.7392,Paraíso Hotel
319,Magdiwang,PH,82.11,overcast clouds,12.491,122.5135,Sanctuary Garden Resort
320,Villagarzon,CO,75.24,overcast clouds,1.0375,-76.6267,Hotel Samari
324,Benton Harbor,US,76.32,broken clouds,42.1167,-86.4542,The Boulevard Inn & Bistro
325,Tual,ID,79.16,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
327,Xique-Xique,BR,80.33,scattered clouds,-10.8218,-42.7263,Hotel J. Macedo
328,Guilin,CN,77.11,clear sky,25.2819,110.2864,Grand 0773 Hotel
334,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
335,Celestun,MX,85.6,overcast clouds,20.8667,-90.4,Posada Lilia
337,Tautira,PF,76.69,scattered clouds,-17.7333,-149.15,Pension Oaoa
340,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
343,Asyut,EG,84.38,scattered clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
346,Muskego,US,78.71,broken clouds,42.9058,-88.139,Cartones
348,Bay City,US,78.12,light rain,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
350,Maragogi,BR,75.52,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
351,Bar Harbor,US,79.93,scattered clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
352,Wanning,CN,80.11,broken clouds,18.8003,110.3967,Paradise Hotel
354,Ibra,OM,88.07,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
357,Hami,CN,76.26,overcast clouds,42.8,93.45,Laoyutang Resort
358,Kirakira,SB,81.43,scattered clouds,-10.4544,161.9205,SanBiz Lodge
362,Salalah,OM,78.19,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
363,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
371,Dalbandin,PK,89.17,clear sky,28.8947,64.4101,Sanjrani House
372,Cacu,BR,75.07,broken clouds,-18.5567,-51.1308,Império Hotel
374,Banda Aceh,ID,79.48,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
378,Anito,PH,76.95,overcast clouds,12.4497,125.2886,El Felix Cottages
385,Villa De Reyes,MX,82.36,overcast clouds,21.8,-100.9333,HOTEL MARIA NATALIA
386,Galle,LK,79.03,few clouds,6.0367,80.217,Amangalla
387,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
388,Loreto,MX,82.56,broken clouds,22.2667,-101.9667,José de Jesús Velásquez mora
392,Bang Krathum,TH,75.45,overcast clouds,16.5783,100.3003,ร้านเสริมสวยกนกวรรณ &หมวยบิวตี้
398,Coahuayana,MX,88.05,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
402,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,hotel la terminal
405,Beruwala,LK,78.78,scattered clouds,6.4788,79.9828,The Palms Hotel
407,Russell,US,84.96,overcast clouds,32.3502,-85.1999,Macs
