City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Cururupu,BR,-1.8283,-44.8683,75.06,94,98,3.53,overcast clouds
162,Pitsunda,GE,43.1592,40.3378,71.78,80,36,2.51,scattered clouds
163,Prince Rupert,CA,54.3161,-130.3201,55.49,90,100,24.16,overcast clouds
164,Binga,ZW,-17.6203,27.3414,61.72,61,1,1.74,clear sky
165,Tessalit,ML,20.1986,1.0114,94.57,22,28,7.38,scattered clouds
166,Qui Nhon,VN,13.7667,109.2333,77.56,86,100,4.5,overcast clouds
167,Baykit,RU,61.67,96.37,50.97,96,93,0.78,overcast clouds
168,Ugoofaaru,MV,5.6667,73.0,82.0,77,94,15.35,overcast clouds
169,Havelock,US,34.8791,-76.9013,87.78,84,89,8.99,overcast clouds
170,Sapele,NG,5.8941,5.6767,73.72,96,99,3.11,light rain
171,Nikolskoye,RU,59.7035,30.7861,67.8,69,51,4.36,broken clouds
172,Hay River,CA,60.8156,-115.7999,69.78,35,75,14.97,thunderstorm with rain
173,Cabo San Lucas,MX,22.8909,-109.9124,95.61,66,6,10.18,clear sky
174,Tacoma,US,47.2529,-122.4443,78.57,51,6,3.0,clear sky
175,Lavrentiya,RU,65.5833,-171.0,52.25,71,71,9.24,broken clouds
176,Mecca,SA,21.4267,39.8261,89.33,34,96,3.02,overcast clouds
177,Souillac,MU,-20.5167,57.5167,70.18,78,75,11.5,light rain
178,Nisia Floresta,BR,-6.0911,-35.2086,80.98,90,55,9.71,broken clouds
179,Kindu,CD,-2.95,25.95,75.87,58,82,2.19,broken clouds
180,Ilovlya,RU,49.3033,43.9796,66.61,91,8,6.35,clear sky
181,Gao,ML,16.6362,1.637,87.71,42,66,16.06,broken clouds
182,Leh,IN,34.1667,77.5833,59.13,60,28,5.68,scattered clouds
183,Barcelos,PT,41.5388,-8.6151,91.54,32,95,7.02,overcast clouds
184,Yulara,AU,-25.2406,130.9889,40.21,71,0,9.37,clear sky
185,Mutoko,ZW,-17.397,32.2268,54.68,60,51,3.53,broken clouds
186,Odienne,CI,9.51,-7.5692,72.63,92,68,4.43,broken clouds
187,Baturaja,ID,-4.1333,104.1667,73.0,99,98,1.32,overcast clouds
188,Miri,MY,4.4148,114.0089,77.14,88,40,5.75,scattered clouds
189,Morondava,MG,-20.2833,44.2833,69.8,48,0,10.29,clear sky
190,Srednekolymsk,RU,67.45,153.6833,60.24,49,100,13.87,overcast clouds
191,Hasaki,JP,35.7333,140.8333,73.8,89,95,13.65,overcast clouds
192,Aswan,EG,24.0934,32.907,92.5,24,0,9.22,clear sky
193,Tarauaca,BR,-8.1614,-70.7656,84.72,59,53,2.59,broken clouds
194,Faanui,PF,-16.4833,-151.75,78.51,72,18,19.04,light rain
195,Sale,MA,34.0389,-6.8166,74.08,94,75,4.61,broken clouds
196,Westport,US,41.1415,-73.3579,90.93,52,60,7.0,broken clouds
197,Jiangyou,CN,31.7667,104.7167,75.92,92,100,4.34,heavy intensity rain
198,Yenagoa,NG,4.9247,6.2642,74.05,94,99,4.0,light rain
199,San Onofre,CO,9.7359,-75.5263,80.8,86,100,3.33,overcast clouds
200,Vaitape,PF,-16.5167,-151.75,78.48,72,20,19.06,light rain
201,Cidreira,BR,-30.1811,-50.2056,57.04,76,0,19.01,clear sky
202,Yermekeyevo,RU,54.0761,53.6712,69.8,81,59,5.55,broken clouds
203,Elizabeth City,US,36.2946,-76.2511,80.02,88,98,12.91,light rain
204,Kapit,MY,2.0167,112.9333,72.99,98,100,1.99,overcast clouds
205,Puerto Escondido,MX,15.85,-97.0667,85.71,66,100,4.68,overcast clouds
206,Kenai,US,60.5544,-151.2583,64.02,79,100,9.22,overcast clouds
207,Hirara,JP,24.8,125.2833,84.47,84,75,12.66,broken clouds
208,Motygino,RU,58.1831,94.7592,49.01,90,69,1.21,broken clouds
209,Broome,US,42.2506,-75.833,76.64,74,26,4.0,scattered clouds
210,Pevek,RU,69.7008,170.3133,36.54,87,99,6.15,overcast clouds
211,Santa Rita,BR,-7.1139,-34.9781,77.67,78,0,9.22,clear sky
212,Kloulklubed,PW,7.0419,134.2556,75.7,72,98,6.91,overcast clouds
213,Victor Harbor,AU,-35.5667,138.6167,49.68,83,62,5.08,broken clouds
214,Mkushi,ZM,-13.6202,29.3939,59.27,65,97,9.84,overcast clouds
215,Marystown,CA,47.1666,-55.1483,63.86,100,68,7.0,broken clouds
216,Koror,PW,7.3398,134.4733,75.52,94,75,0.0,broken clouds
217,Providencia,MX,28.7167,-111.5833,106.21,37,6,15.14,clear sky
218,Akyab,MM,20.15,92.9,80.11,88,100,15.19,overcast clouds
219,Agadir,MA,30.4202,-9.5982,72.05,76,2,2.51,clear sky
220,Pimentel,PE,-6.8367,-79.9342,68.29,68,0,21.85,clear sky
221,Mount Gambier,AU,-37.8333,140.7667,47.91,84,56,1.7,broken clouds
222,Saint George,US,37.1041,-113.5841,107.8,17,0,8.99,clear sky
